category,product_name,brand,price,rating,rating_avg,rating_count,scrape_date
Mouse,"Logitech G309 LIGHTSPEED Wireless Gaming Mouse, Lightweight, LIGHTFORCE Hybrid Switches, HERO 25K Sensor, 300+ Hour Battery Life With AA Battery, 6 Programmable Buttons, PC & Mac - Black",Logitech,64.99,,4.7,,2026-01-14
Mouse,"Ludus Dominum Rechargeable Wireless Gaming Mouse,large-size ,Ergonomic Hand Grips,4800 DPI,TYPE-C Fast charge,7 Buttons,Fast-Charging,10 millons buttons life,RGB Gamer Desk Laptop PC Gaming Mouse",Unknown,17.99,,3.9,,2026-01-14
Mouse,"Redragon M612 Predator RGB Gaming Mouse, 8000 DPI Wired Optical Gamer Mouse with 11 Programmable Buttons & 5 Backlit Modes, Software Supports DIY Keybinds Rapid Fire Button",Unknown,19.99,,4.7,,2026-01-14
Mouse,"Logitech PRO X SUPERLIGHT 2 DEX Wireless Gaming Mouse, Lightweight 60g Pro-grade Right-handed Mouse with 44L DPI Sensor and Up to 8k Hz Polling for PC/Mac",Logitech,149.99,,4.4,,2026-01-14
Mouse,"Corsair M65 RGB Ultra Tunable FPS Gaming Mouse Marksman 26,000 DPI Optical Sensor, Optical Switches, AXON Hyper-Processing Technology, Sensor Fusion Control, Tunable Weight System - Black",Unknown,59.99,,3.6,,2026-01-14
Mouse,"Logitech G502 X Wired Gaming Mouse - LIGHTFORCE hybrid optical-mechanical primary switches, HERO 25K gaming sensor, compatible with PC - macOS/Windows - Black",Logitech,79.99,,4.3,,2026-01-14
Mouse,Razer Viper V3 HyperSpeed Wireless Esports Gaming Mouse: 82g Lightweight Design - 30K DPI Optical Sensor - Up to 280 Hr Battery Life - Mechanical Switches Gen-2,Unknown,59.99,,5.0,,2026-01-14
Mouse,"ASUS ROG Harpe II Ace Wireless Esports Gaming Mouse (2025) Pro-Tested, 48g Lightweight, Tri-Mode Connectivity, 42K DPI, 8K Polling, 101Hr Battery, Web-Based Tool, PC/Mac Support - Black",Unknown,143.99,,4.4,,2026-01-14
Mouse,"MLOONG MX301 Wireless Gaming Mouse, MLOONG S1 Sensor, 16,000 DPI, Lightweight, 4 Programmable Buttons, 140h Battery Life, On-Board Memory, PC/Mac - White",Unknown,49.99,,5.0,,2026-01-14
Mouse,"Logitech G PRO 2 LIGHTSPEED Wireless Gaming Mouse, Right- or Left-Handed Mouse with up to 4 Customizable and Switchable Magnetic Side Buttons, 44K DPI Sensor, USB-C Charging, for PC/Mac",Logitech,99.99,,,,2026-01-14
Mouse,"Logitech G502 X PLUS LIGHTSPEED Wireless RGB Gaming Mouse - Optical mouse with LIGHTFORCE hybrid switches, LIGHTSYNC RGB, HERO 25K gaming sensor, compatible with PC - macOS/Windows  - White",Logitech,155.00,,4.9,,2026-01-14
Mouse,"Logitech G502 X PLUS LIGHTSPEED Wireless RGB Gaming Mouse - Optical mouse with LIGHTFORCE hybrid switches, LIGHTSYNC RGB, HERO 25K gaming sensor, compatible with PC - macOS/Windows - Black",Logitech,149.00,,4.9,,2026-01-14
Mouse,"Corsair Harpoon RGB Wireless - Wireless Rechargeable Gaming Mouse with SLIPSTREAM Technology - 10,000 DPI Optical Sensor",Unknown,49.99,,4.0,,2026-01-14
Mouse,"Logitech G PRO X SUPERLIGHT 2 Lightspeed Wireless Gaming Mouse, Lightweight, LIGHTFORCE Hybrid Switches, Hero 2 Sensor, 44,000 DPI, 5 Programmable Buttons, USB-C Charging, PC & Mac",Logitech,159.99,,4.4,,2026-01-14
Mouse,"Logitech G203 Wired Gaming Mouse, 8,000 DPI, Rainbow Optical Effect LIGHTSYNC RGB, 6 Programmable Buttons, On-Board Memory, Screen Mapping, PC/Mac Computer and Laptop Compatible - Black",Logitech,31.99,,4.3,,2026-01-14
Mouse,"Logitech G305 LIGHTSPEED Wireless Gaming Mouse, Hero 12K Sensor, 12,000 DPI, Lightweight, 6 Programmable Buttons, 250h Battery Life, On-Board Memory, PC/Mac - White",Logitech,45.97,,4.6,,2026-01-14
Mouse,"Logitech G305 LIGHTSPEED Wireless Gaming Mouse, Hero 12K Sensor, 12,000 DPI, Lightweight, 6 Programmable Buttons, 250h Battery Life, On-Board Memory, PC/Mac - Black",Logitech,38.24,,4.6,,2026-01-14
Mouse,ASUS TUF Gaming Mini Wireless Mouse Hatsune Miku Edition,ASUS,99.99,,5.0,,2026-01-14
Mouse,"Logitech G502 X LIGHTSPEED Wireless Gaming Mouse - Optical mouse with LIGHTFORCE hybrid optical-mechanical switches, HERO 25K gaming sensor, compatible with PC - macOS/Windows - Black",Logitech,129.99,,4.9,,2026-01-14
Mouse,"MSI Clutch GM08 Gaming Mouse, 4200 DPI, Optical Sensor, 3 Adjustable Weights, Red LED Lighting, Symmetrical Design",Unknown,24.99,,4.4,,2026-01-14
Mouse,"Logitech G703 Lightspeed Wireless Gaming Mouse W/Hero 25K Sensor, PowerPlay Compatible, Lightsync RGB, Lightweight 95G+10G Optional, 100-25, 600 DPI, Rubber Side Grips - Black",Logitech,73.90,,4.4,,2026-01-14
Mouse,"Razer Cobra Wired Gaming Mouse 58g Lightweight Design, Gen-3 Optical Switches, Chroma RGB Lighting, 8500 DPI Optical Sensor",Unknown,35.99,,5.0,,2026-01-14
Mouse,"Logitech G PRO X Superlight 2 Lightspeed Wireless Gaming Mouse, Lightweight, LIGHTFORCE Hybrid Switches, Hero 2 Sensor, 32,000 DPI, 5 Programmable Buttons, USB-C Charging, PC & Mac - White",Logitech,128.98,,4.4,,2026-01-14
Mouse,"Asus ROG Gladius III Wireless AimPoint Gaming Mouse, Connectivity (2.4GHz RF, Bluetooth, Wired), 36000 DPI sensor, 6 programmable buttons, ROG SpeedNova, Replaceable switches, Paracord cable, White",ASUS,84.99,,5.0,,2026-01-14
Mouse,"Logitech G PRO X SUPERLIGHT Wireless Gaming Mouse, Ultra-Lightweight, HERO 25K Sensor, 25,600 DPI, 5 Programmable Buttons, Long Battery Life, Compatible with PC / Mac - Black",Logitech,114.10,,4.4,,2026-01-14
Mouse,"Logitech G403 Hero 25K Gaming Mouse, Lightsync RGB, Lightweight 87G+10G optional, Braided Cable, 25, 600 DPI, Rubber Side Grips",Logitech,49.99,,4.6,,2026-01-14
Mouse,"Logitech (G) G102 2nd Generation Gaming wired Mouse,  RGB Streaming Light Effect Mouse,  Lightweight Design Gaming Grade 8000DPI Sensor, for Windows® 7 or later/macOS 10.11 or later/ChromeOS, white",Unknown,25.99,,,,2026-01-14
Mouse,"EPOMAKER Click Lite Wireless Gaming Mouse, 800 to 12,000 DPI Adjustable, PAW3311 Sensor, 500mAh, 59g, 2.4G/BT/USB-C Rechargeable Wireless Mouse with 5 Programmable Buttons for PC/Mac/Linux (White)",EPOMAKER,25.49,,4.3,,2026-01-14
Mouse,Razer Naga V2 Pro Wireless MMO Gaming Mouse: 19+1 Programmable Buttons w/ Swappable Side Plates - HyperScroll Pro Wheel - Focus Pro 30K Optical Sensor - Optical Mouse Switches Gen-3 - 300 Hr Battery,Unknown,,,3.0,,2026-01-14
Mouse,Razer Basilisk X Hyperspeed Wireless Optical Gaming Mouse,RAZER,49.98,,5.0,,2026-01-14
Mouse,"EPOMAKER Click Gaming Mouse Wireless 2.4Ghz/Bluetooth/Type-C, 800 to 42,000 DPI Adjustable, 8K Polling Rate, 500mAh, Lightweight Optical Mouse, for PC/Mac/Linux (Black)",EPOMAKER,59.49,,5.0,,2026-01-14
